Age,AnnualIncome,CreditScore,EmploymentStatus,LoanAmount,LoanDuration,EducationLevel,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,LoanPurpose
37,100761,604,Employed,28479,84,High School,0,88,0.2809485890643107,0.4307513944997947,0,0,23,19,Debt Consolidation
35,189154,509,Employed,11222,60,High School,2,411,0.2895218553483874,0.1489076048327878,0,0,30,12,Debt Consolidation
44,73272,483,Employed,31573,48,High School,0,442,0.5139465021318005,0.206625773921825,0,0,21,25,Home
41,57115,412,Employed,21937,12,Master,3,409,0.2567889002304054,0.1846811196661846,0,0,23,14,Debt Consolidation
39,61155,551,Employed,31510,48,Master,0,533,0.2166960949993339,0.1841854655436697,0,0,19,3,Debt Consolidation
28,45253,638,Employed,16435,24,Master,1,336,0.1534962755613964,0.0884729601026118,0,0,25,29,Home
26,64538,508,Employed,18774,60,High School,0,673,0.3995082593572858,0.2317858354525213,0,0,14,28,Auto
35,60952,581,Employed,40297,60,Master,1,206,0.2420519461280038,0.1153792093293835,0,0,33,13,Debt Consolidation
33,31605,587,Unemployed,21781,120,Master,2,743,0.5772622985390814,0.6291967698519401,0,1,27,17,Debt Consolidation
38,77502,577,Employed,29493,48,Bachelor,4,796,0.0965002825987198,0.1909350854380696,0,1,20,10,Debt Consolidation
25,52729,544,Employed,15257,36,Bachelor,0,663,0.2325700443880801,0.5261245469484929,0,0,31,11,Other
44,34735,508,Self-Employed,20445,36,High School,3,484,0.610272473463907,0.6912755247448554,0,0,18,20,Other
56,125534,658,Employed,23449,48,High School,3,628,0.0493836573905089,0.3698555043304489,0,0,22,16,Debt Consolidation
37,166087,557,Employed,11627,84,Bachelor,1,245,0.1802708113923072,0.133620244941466,0,0,28,10,Education
46,73736,634,Unemployed,13892,48,Bachelor,2,441,0.3975022840636307,0.2646776479766811,0,0,24,22,Auto
34,63872,602,Employed,19133,60,High School,2,168,0.4549476422338074,0.2726170712382302,0,0,19,24,Home
61,42616,510,Employed,50106,48,Bachelor,0,315,0.1663886192703891,0.1226611250925659,0,0,26,15,Home
23,24289,574,Employed,21252,60,Bachelor,0,486,0.2367386388433333,0.3791212164944912,0,0,21,15,Auto
40,51094,506,Employed,24852,60,Bachelor,0,207,0.2054657342116587,0.3761194447106945,0,0,21,22,Other
30,27888,530,Unemployed,25677,48,Master,2,777,0.0907458810819109,0.3999173985439089,0,0,19,21,Home
52,55979,584,Employed,17780,60,Doctorate,0,576,0.0898758757825479,0.0990397430747483,0,0,28,13,Other
23,24719,459,Employed,9657,48,High School,3,210,0.4266783495568911,0.0953947991936986,0,0,17,18,Home
29,25494,596,Employed,35684,36,Associate,3,402,0.2712231060014818,0.0696948838053469,0,0,28,16,Debt Consolidation
60,38941,565,Employed,37553,24,High School,1,350,0.191104907932142,0.0322470104604733,0,0,26,10,Debt Consolidation
56,29199,434,Employed,27953,60,High School,2,602,0.3262891793239896,0.1606017732501264,0,0,29,12,Debt Consolidation
53,66029,616,Employed,24227,60,Master,2,298,0.3141559672753112,0.069757082564132,0,0,22,25,Home
36,40379,527,Employed,8351,12,High School,0,378,0.1644305217168259,0.1555417367038878,0,0,20,3,Home
70,113277,671,Employed,61521,48,Master,0,466,0.4073671403756752,0.1224120867698603,0,0,20,20,Debt Consolidation
64,30770,670,Employed,7057,60,Associate,3,486,0.2100462527266003,0.2145091754706857,0,0,24,1,Debt Consolidation
34,111967,560,Employed,31901,96,High School,2,293,0.1159597654990666,0.2932340476076699,0,1,25,9,Education
54,24877,503,Self-Employed,38813,48,Associate,2,238,0.4407216553066738,0.3220135017880375,0,0,30,1,Debt Consolidation
41,18888,588,Employed,27906,60,High School,5,852,0.0904478755780678,0.4613549321017598,0,0,19,19,Home
36,47205,555,Employed,11827,60,High School,3,544,0.4322710501669109,0.2619828000990665,1,0,39,27,Debt Consolidation
63,87617,648,Employed,21338,84,Doctorate,4,304,0.1442614582768555,0.3992433059712268,0,0,26,28,Other
45,62981,630,Employed,24848,60,Master,0,233,0.3755450700844749,0.1723408294884738,0,0,20,8,Debt Consolidation
48,102866,640,Employed,16089,48,Bachelor,0,577,0.4496217390661775,0.3073707473168751,0,0,27,7,Home
59,68513,635,Employed,11423,48,Bachelor,3,222,0.3490809433382951,0.0613204075675549,0,0,18,12,Auto
67,78667,542,Self-Employed,21855,72,Master,0,253,0.0806330647584427,0.4491300453351912,0,0,17,10,Auto
40,74145,558,Employed,32338,72,High School,1,804,0.1149117798058482,0.3799346262249474,0,0,18,11,Auto
41,45915,591,Employed,15661,24,Bachelor,2,891,0.1308243193572732,0.4349550479525267,0,0,25,7,Home
42,32995,593,Employed,10117,96,Master,1,212,0.3826715881948991,0.0756175236494604,0,0,29,16,Debt Consolidation
41,140974,581,Self-Employed,15538,12,Bachelor,0,594,0.6841253844505107,0.1800697752590105,0,0,28,18,Debt Consolidation
41,66864,603,Employed,12287,36,Bachelor,4,642,0.6281290337544493,0.2764006381304282,0,0,32,16,Home
31,44961,595,Employed,15062,84,Associate,1,186,0.4881681795679162,0.1042750388710017,0,0,26,24,Other
38,28240,618,Employed,9066,48,Bachelor,2,122,0.2540375467997161,0.3846972482857497,0,0,23,5,Other
35,57313,478,Employed,11291,48,Bachelor,4,611,0.4532306186484671,0.4029911579643702,0,0,22,8,Debt Consolidation
29,30069,534,Employed,24432,72,High School,0,184,0.1133744728405083,0.0818168459238046,0,0,18,14,Home
44,20989,384,Employed,25099,36,High School,1,732,0.581442860592033,0.15831103946193,0,0,22,28,Auto
35,37698,560,Employed,28246,60,Associate,2,697,0.2783107651163026,0.4571860295812314,0,0,21,17,Other
51,77705,635,Employed,20087,120,High School,0,306,0.0961210062636357,0.4577455473251203,0,0,19,14,Education
28,39357,603,Employed,38440,48,Bachelor,2,299,0.1017268088594504,0.2873004682534993,1,0,20,23,Debt Consolidation
54,50821,592,Employed,34589,84,Associate,2,205,0.3655285989058874,0.2876554949005779,0,0,22,21,Education
24,52926,562,Employed,30319,48,High School,0,779,0.3746489617631674,0.1790966379931745,0,0,25,1,Education
43,23648,575,Employed,20672,36,High School,0,383,0.1398288300035867,0.4694211458922333,0,1,27,3,Education
47,70915,597,Employed,37814,60,High School,3,613,0.0509797414408291,0.4019111252231536,0,0,27,22,Home
55,130060,593,Employed,11878,36,Bachelor,2,876,0.2765142673666523,0.1812987302280854,0,0,27,29,Home
41,38956,532,Employed,50312,108,High School,4,184,0.6538454645767928,0.6594340452648824,0,0,23,2,Debt Consolidation
23,49866,614,Employed,16342,48,Master,2,323,0.1188337427003514,0.4081849369798515,0,0,30,28,Home
35,44623,545,Employed,65816,48,High School,0,856,0.3701310332503023,0.2169828774905344,0,0,16,22,Home
53,121900,625,Employed,14190,24,Master,0,261,0.1761213936649501,0.7284445258679169,0,0,12,21,Education
50,71942,597,Employed,16123,36,Master,2,247,0.3991510773012843,0.1906289883418008,0,0,24,1,Debt Consolidation
54,129626,540,Employed,26826,48,Associate,2,343,0.8308658987672393,0.3738160638003663,0,0,28,12,Home
30,94145,561,Employed,18221,48,Associate,0,707,0.4545507993993665,0.2804633769260983,0,0,29,20,Debt Consolidation
65,37364,571,Self-Employed,23616,60,Bachelor,1,460,0.1529164732268803,0.5800726075191045,0,0,22,11,Home
18,41984,570,Employed,34453,84,High School,2,340,0.5029100432939335,0.0804691556932145,0,0,21,22,Debt Consolidation
21,16169,512,Employed,17503,36,High School,3,590,0.4009396888552055,0.0251729712720419,0,0,23,17,Home
29,15307,568,Employed,25544,60,Master,0,208,0.1569347156159037,0.128796017524838,0,0,17,18,Debt Consolidation
18,26049,575,Employed,18122,24,Bachelor,0,427,0.1396407781740395,0.5015566724723842,0,0,21,6,Home
39,30722,617,Unemployed,16254,84,High School,1,597,0.12811959215881,0.3066973055952933,0,0,20,22,Home
22,54254,585,Employed,26799,120,Associate,0,263,0.1419487333498688,0.1256397166262904,0,0,31,25,Auto
40,68213,551,Employed,30291,36,High School,0,364,0.5950717156488501,0.3067441216541241,0,0,30,4,Debt Consolidation
46,115156,596,Employed,11143,60,Bachelor,3,289,0.1323657794209864,0.5573966807372044,0,0,23,13,Debt Consolidation
