Age,AnnualIncome,CreditScore,EmploymentStatus,LoanAmount,LoanDuration,EducationLevel,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,LoanPurpose,RiskScore,LoanApproved
45,39948,617,Employed,13152,48,Master,2,183,0.3544179188076587,0.3583355996981915,0,0,29,9,Home,49.0,0
38,39709,628,Employed,26045,48,Associate,1,496,0.0878269682003487,0.330273669928854,0,0,21,9,Debt Consolidation,52.0,0
47,40724,570,Employed,17627,36,Bachelor,2,902,0.1374141042375972,0.2447291091328494,0,0,20,22,Education,52.0,0
58,69084,545,Employed,37898,96,High School,1,755,0.2675871369453283,0.4362442650682687,0,0,27,10,Home,54.0,0
37,103264,594,Employed,9184,36,Associate,1,274,0.3205353247385241,0.0788842122687955,0,0,26,27,Debt Consolidation,36.0,1
37,178310,626,Self-Employed,15433,72,Master,0,732,0.102211336838256,0.2593664008403899,0,1,16,19,Debt Consolidation,44.0,1
58,51250,564,Employed,12741,48,High School,0,337,0.3673803425383352,0.1274727031804663,0,0,21,18,Other,50.0,0
49,97345,516,Employed,19634,12,High School,5,288,0.2097675831677214,0.3955676351247315,0,0,19,11,Other,42.400000000000006,1
34,116841,603,Employed,55353,60,Bachelor,5,638,0.1927011647841362,0.3132332595016429,1,0,25,29,Debt Consolidation,61.0,0
46,40615,612,Employed,25443,12,Associate,4,704,0.5124646439687668,0.5051480267602317,0,0,23,10,Other,53.0,0
34,73646,478,Employed,48716,84,Associate,3,267,0.2112359879576895,0.0814447301385817,0,0,25,7,Auto,47.0,0
34,15000,591,Employed,30088,24,Bachelor,2,295,0.3121837751773506,0.3466856611903402,0,0,21,28,Home,56.0,0
42,74453,573,Employed,16154,60,Bachelor,1,258,0.527488434435663,0.3710335920591852,0,0,26,7,Debt Consolidation,56.0,0
18,100508,580,Employed,20439,60,Associate,1,247,0.1686248463190475,0.5813609803865023,0,1,20,3,Other,63.0,0
19,47624,597,Employed,27197,36,Bachelor,1,196,0.1149665642522752,0.7515148192746655,0,0,15,21,Debt Consolidation,58.0,0
